City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ancud,-41.8697,-73.8203,18.25,58,73,3.99,CL,1707410710
1,ushuaia,-54.8,-68.3,9.81,62,75,1.54,AR,1707410477
2,adamstown,-25.066,-130.1015,23.84,90,100,12.24,PN,1707410710
3,holualoa,19.6228,-155.9522,20.91,80,100,2.57,US,1707410532
4,bullhead city,35.1478,-114.5683,8.16,83,75,0.0,US,1707410710
5,longyearbyen,78.2186,15.6401,-8.09,67,40,3.6,SJ,1707410710
6,utrik,11.2278,169.8474,26.47,84,99,9.88,MH,1707410711
7,blackmans bay,-43.0167,147.3167,15.07,89,74,1.77,AU,1707410711
8,yellowknife,62.456,-114.3525,-15.33,89,100,3.09,CA,1707410712
9,elgin,42.0373,-88.2812,13.86,62,0,8.75,US,1707410512
10,tsiombe,-25.3,45.4833,24.57,90,91,2.29,MG,1707410712
11,chonchi,-42.6128,-73.8092,17.56,41,40,2.8,CL,1707410712
12,ribeira grande,38.5167,-28.7,17.22,77,40,14.4,PT,1707410712
13,fort bragg,35.139,-79.006,12.12,50,0,0.0,US,1707410713
14,port-aux-francais,-49.35,70.2167,4.6,68,43,6.39,TF,1707410713
15,miyaly,48.8844,53.7836,3.05,99,100,6.53,KZ,1707410713
16,tura,25.5198,90.2201,12.26,42,35,1.34,IN,1707410713
17,kruisfontein,-34.0033,24.7314,21.05,66,44,3.89,ZA,1707410714
18,grytviken,-54.2811,-36.5092,6.29,93,97,8.86,GS,1707410492
19,rundu,-17.9333,19.7667,26.13,55,50,3.69,NA,1707410714
20,mejit,10.2753,170.8646,26.78,82,100,10.59,MH,1707410714
21,banda aceh,5.5577,95.3222,26.07,86,76,4.55,ID,1707410712
22,isafjordur,66.0755,-23.124,-5.98,79,75,1.54,IS,1707410478
23,albany,42.6001,-73.9662,7.67,51,17,0.89,US,1707410714
24,christchurch,-43.5333,172.6333,13.84,90,75,1.54,NZ,1707410714
25,punta arenas,-53.15,-70.9167,13.06,58,75,9.26,CL,1707410667
26,barstow,34.8986,-117.0228,5.55,55,9,11.23,US,1707410715
27,waitangi,-43.9535,-176.5597,14.34,81,24,2.24,NZ,1707410715
28,stanley,54.868,-1.6985,1.01,93,75,6.17,GB,1707410715
29,kodiak,57.79,-152.4072,-3.27,86,100,2.57,US,1707410482
30,kununurra,-15.7667,128.7333,26.99,83,40,1.54,AU,1707410716
31,port lincoln,-34.7333,135.8667,16.14,81,0,6.06,AU,1707410510
32,paso de ovejas,19.2833,-96.4333,24.34,48,4,2.58,MX,1707410716
33,puerto natales,-51.7236,-72.4875,15.25,44,75,13.38,CL,1707410716
34,lompoc,34.6391,-120.4579,9.32,72,20,2.57,US,1707410502
35,kisangani,0.5167,25.2,29.03,30,5,1.21,CD,1707410716
36,palmer,42.1584,-72.3287,8.62,46,20,0.89,US,1707410638
37,iqaluit,63.7506,-68.5145,-22.15,64,75,1.03,CA,1707410854
38,wailua homesteads,22.0669,-159.378,21.44,82,20,5.66,US,1707410854
39,georgetown,5.4112,100.3354,28.96,85,20,1.54,MY,1707410854
40,ajasse ipo,8.2333,4.8167,34.48,13,32,3.28,NG,1707410854
41,bilibino,68.0546,166.4372,-33.39,99,98,0.61,RU,1707410854
42,ferkessedougou,9.6,-5.2,36.96,7,5,4.44,CI,1707410855
43,ilulissat,69.2167,-51.1,-12.99,66,75,5.14,GL,1707410855
44,bocaiuva,-17.1078,-43.815,26.84,90,100,0.6,BR,1707410855
45,divnogorsk,55.9594,92.3619,-12.73,96,100,2.63,RU,1707410855
46,kristiansund,63.1115,7.732,-1.64,93,75,1.54,NO,1707410855
47,hawaiian paradise park,19.5933,-154.9731,18.83,95,0,3.6,US,1707410855
48,saint-philippe,-21.3585,55.7679,26.77,83,100,5.04,RE,1707410855
49,melekeok village,7.4957,134.6367,26.31,89,75,2.57,PW,1707410855
50,cam ranh,11.9214,109.1591,24.98,94,20,2.06,VN,1707410856
51,pyt-yakh,60.7499,72.8582,-7.97,95,54,4.19,RU,1707410856
52,edinburgh of the seven seas,-37.0676,-12.3116,18.5,73,92,5.4,SH,1707410856
53,lebu,-37.6167,-73.65,16.83,66,60,8.72,CL,1707410856
54,arkhangel'sk,64.5401,40.5433,-10.94,92,100,3.0,RU,1707410856
55,taltal,-25.4,-70.4833,22.74,73,17,2.45,CL,1707410782
56,serpa,37.9458,-7.5975,11.98,93,100,7.24,PT,1707410856
57,ataq,14.5377,46.8319,18.41,70,1,5.06,YE,1707410856
58,vila do maio,15.1333,-23.2167,29.44,71,0,4.89,CV,1707410857
59,oranjemund,-28.55,16.4333,19.93,79,4,8.11,NA,1707410857
60,fisterra,42.9049,-9.2629,15.97,84,79,12.33,ES,1707410857
61,petropavlovsk-kamchatsky,53.0452,158.6483,-10.86,90,75,3.0,RU,1707410857
62,kavieng,-2.5744,150.7967,27.42,79,100,3.87,PG,1707410857
63,narasannapeta,18.4167,84.05,23.85,92,19,1.72,IN,1707410857
64,puerto ayora,-0.7393,-90.3518,28.98,89,87,2.68,EC,1707410857
65,badger,64.8,-147.5333,-23.33,77,20,1.54,US,1707410858
66,la'ie,21.6477,-157.9253,22.56,81,44,0.89,US,1707410858
67,gaillimh,53.2719,-9.0489,5.51,96,100,5.95,IE,1707410858
68,yanchep,-31.55,115.6833,27.56,28,0,2.86,AU,1707410858
69,saldanha,-33.0117,17.9442,23.03,70,2,6.02,ZA,1707410858
70,talnakh,69.4865,88.3972,-27.15,84,13,1.85,RU,1707410858
71,nogliki,51.8333,143.1667,-19.25,96,99,2.68,RU,1707410859
72,saint-pierre,-21.3393,55.4781,26.82,78,100,6.17,RE,1707410859
